,Model,Train_Loss,Train_PSNR,Train_SSIM,Val_Loss,Val_PSNR,Val_SSIM
0,RDN SSIM,0.5057445764541626,11.587377548217773,0.4942554533481598,0.4752698242664337,11.903334617614746,0.5247301459312439
1,RDN SSIM,0.4357186257839203,13.33470344543457,0.5642815232276917,0.3878672420978546,17.030723571777344,0.612132728099823
2,RDN SSIM,0.3408787250518799,18.743471145629883,0.659121036529541,0.33100029826164246,18.92481231689453,0.6689997315406799
3,RDN SSIM,0.3157220184803009,19.389257431030273,0.6842779517173767,0.3176165819168091,19.925983428955078,0.6823834180831909
4,RDN SSIM,0.3070836663246155,19.551483154296875,0.6929162740707397,0.3099939227104187,20.11309242248535,0.6900059580802917
5,RDN mse,0.07401804625988007,11.691096305847168,0.3981626033782959,0.05102934315800667,13.62276840209961,0.3563043177127838
6,RDN mse,0.024139316752552986,17.16261863708496,0.43719482421875,0.014707454480230808,19.10431671142578,0.5229324102401733
7,RDN mse,0.014586440287530422,19.274511337280273,0.5557924509048462,0.012789536267518997,19.8120059967041,0.5557016730308533
8,RDN mse,0.011982274241745472,20.15419578552246,0.5589979290962219,0.010234282352030277,20.746374130249023,0.547713577747345
9,RDN mse,0.008720481768250465,21.50118637084961,0.5625047087669373,0.00780767435207963,21.971115112304688,0.5782784819602966
